epoch,supply,mint,burn,net_change,inflation_rate,F_t,L_t,tau_t,gamma_t,TV_t,staking_apy,time_violence
31,528.3604171137271,32.6244675586393,1.5485135613038008,31.075953997335503,5.8815825316919135,0.03693573197221384,1.7761998618463282,0.8880999309231641,0.001448659468170948,0.003113939155869755,8.88099930923164,0.003113939155869755
32,565.8176195225919,37.45720240886487,0.0,37.45720240886487,6.620013431265953,0.04035081857268309,1.756922942463807,0.8784614712319035,0.0,0.0,8.784614712319035,0.0
33,606.9357360678928,43.143117014344774,2.025000469043901,41.11811654530087,6.774706793785057,0.044451970309741934,1.7153155950129104,0.8576577975064552,0.0016856297480602734,0.003578892560384551,8.576577975064554,0.003578892560384551
34,635.3005197127856,49.830583890799296,21.465800245906543,28.364783644892754,4.464782062151666,0.04832546305926212,1.698936874604432,0.849468437302216,0.018016410823429644,0.035367500989438104,8.49468437302216,0.035367500989438104
35,689.9872634173079,59.033692203019704,4.346948498497403,54.6867437045223,7.9257613298069645,0.05304006107134595,1.7519298829365237,0.8759649414682619,0.004906126576747128,0.0068423499802308125,8.759649414682618,0.0068423499802308125
36,751.1235006851845,68.22921139803779,7.092974130161182,61.13623726787661,8.139305615136173,0.057890692292466885,1.7081284822994813,0.8540642411497407,0.007261852504395457,0.010279862406490994,8.540642411497409,0.010279862406490994
37,830.9611649367534,79.83766425156898,0.0,79.83766425156898,9.607869491427511,0.06329876378799848,1.6791954318488267,0.8395977159244133,0.0,0.0,8.395977159244133,0.0
38,925.941983780891,98.76586139934196,3.7850425552044955,94.98081884413746,10.257750540298767,0.06951415413605404,1.7098298152664442,0.8549149076332221,0.004464482094969758,0.004555017388198382,8.54914907633222,0.004555017388198382
39,1048.7059681911167,122.7639844102258,0.0,122.7639844102258,11.706234934657418,0.07610092370196123,1.742197037807534,0.871098518903767,0.0,0.0,8.710985189037672,0.0
40,1194.1008796507233,150.88534324873407,5.490431789127375,145.3949114596067,12.176099518671737,0.0838771145240953,1.7153384942443584,0.8576692471221792,0.007565536086338297,0.005235434865120169,8.576692471221794,0.005235434865120169
41,1389.0439748191593,194.94309516843606,0.0,194.94309516843606,14.034335751956007,0.09159187700884758,1.782419315171266,0.891209657585633,0.0,0.0,8.91209657585633,0.0
42,1639.7719402555012,257.9424170271169,7.214451590774886,250.727965436342,15.29041687329244,0.10112887683381959,1.8362490587190186,0.9181245293595093,0.019967929826539475,0.005193825193125467,9.181245293595094,0.005193825193125467
43,1970.0205940980275,334.16054975295026,3.911895910424006,330.24865384252627,16.7637158125106,0.11186271235012539,1.821739943295031,0.9108699716475155,0.010813033994231143,0.002385634132643149,9.108699716475156,0.002385634132643149
44,2414.612818753159,449.81235558754,5.220130932408583,444.5922246551314,18.41256789503449,0.12315942589585063,1.8539284053274547,0.9269642026637274,0.019003563085168266,0.002649784955572313,9.269642026637275,0.002649784955572313
45,3010.3161399089136,606.4663119743994,10.762990818645047,595.7033211557545,19.788729604119894,0.13470740860634617,1.864522798845498,0.932261399422749,0.045304898442547634,0.00445743960897332,9.32261399422749,0.00445743960897332
46,3826.6318167252366,828.1217856583726,11.806108842049694,816.3156768163229,21.33248548366776,0.14925181264370974,1.8431576729600008,0.9215788364800004,0.04659913275072473,0.0039218833814600364,9.215788364800005,0.0039218833814600364
47,4999.796793037008,1180.526133207228,7.3611568954570465,1173.164976311771,23.46425314615956,0.16379183939987668,1.883504521945205,0.9417522609726025,0.04221093034908353,0.0019236647913926021,9.417522609726028,0.0019236647913926021
48,6706.040377531848,1713.5850797502974,7.341495255456767,1706.2435844948407,25.44338370242295,0.18158614951229815,1.8874288922005007,0.9437144461002503,0.0475538252574099,0.0014683587272348623,9.437144461002504,0.0014683587272348623
49,9297.594685396114,2596.564310942526,5.010003078260639,2591.5543078642654,27.87338441344257,0.2020468917929785,1.9163760989789302,0.9581880494894651,0.04765161652895728,0.0007470881170125858,9.581880494894651,0.0007470881170125858
50,13308.183635575551,4012.8228002398423,2.233850060405117,4010.5889501794372,30.1362609654581,0.22239476103671718,1.9406839772332078,0.9703419886166039,0.03245675189775532,0.00024026107138374854,9.70341988616604,0.00024026107138374854
